"id","id_str","full_text","username",""
"1.6645663077429E+18","1.6645663077429E+18","@tengkorak_maut @aniesbaswedan Rupanya program utama ganti dan rubah dasar dan lambang negara. \nTanda2nya sdh jelas, pelaku jelas bukan informasi A1 seperti yg onoh.\nYg gini kok SBY dukung ya.","Nutmegjazz",""
"1.664566302391E+18","1.664566302391E+18","@kangdede78 @Mdy_Asmara1701 @GeiszChalifah @Lembayung071 @musniumar @ekowboy2 @abu_waras @HukumDan @bachrum_achmadi @Tan_Mar3M @BangEdiii @DrEvaChaniago @Stevaniehuangg @CutSarina5 @ArieMutyara @aniesbaswedan Gerombolan goblok kalo mau nyerang orang tapi otaknya ga dipake. Wkwkwkwk","Slamethardjo19",""
"1.6645661446642E+18","1.6645661446642E+18","@AgusSantaiAja @AbdiKabayan @IbnuhazmA @aniesbaswedan Aamiin yraðŸ¤²","MIrvanDarwin1",""
"1.6645660987408E+18","1.6645660987408E+18","@kurangbayar @KataBewe @aniesbaswedan Bener... Sang Bapak Perubahan ðŸ‘‡ https://t.co/XAjiTDzYT6","IwaHasyim",""
"1.664566394909E+18","1.664566394909E+18","@Moch_herianto @DokterTifa @aniesbaswedan Baca dulu beritanya bro...\nhttps://t.co/7umGa1ERwm","Adepdng",""
"1.6645663908279E+18","1.6645663908279E+18","@aniesbaswedan https://t.co/h97x06JQmo","ihaidir17",""
"1.6645663664716E+18","1.6645663664716E+18","@MamakiloQG @PartaiSocmed @aniesbaswedan @susipudjiastuti yg nudub syiah itu yg skrg bny jd pendukungnyaðŸ˜","ProoFaris29119",""
"1.6645665028997E+18","1.6645665028997E+18","@CilokaMan @PartaiSocmed @aniesbaswedan Memangnya semulia apa si doski?","awakedhewe",""
"1.664566316811E+18","1.664566316811E+18","@islah_bahrawi @kangdede78 @aniesbaswedan Eh kenapa gk secara NAPI 378. Kan lebih menarik dr kacamata NAPI 378ðŸ˜‚","mrobama99",""
"1.6645657211024E+18","1.6645657211024E+18","@VeelaaRhie @aniesbaswedan Kalo otak kga' nyampe' gini nni hasilnye,...\nTelaah dulu kalimatnye', bedah beritenye' jangan lu penggal potonye' doank...\n\nLu lulusan PAUD ye', masih berimajinasi, blom pake' nalar dan minum literasi...\n\nBerkompetisi baik aje' nape'... Blajar lgi telaah kalimat ye'","Rafliyandinata",""
"1.6645658165229E+18","1.6645658165229E+18","@kangdede78 @Mdy_Asmara1701 @GeiszChalifah @Lembayung071 @musniumar @ekowboy2 @abu_waras @HukumDan @bachrum_achmadi @Tan_Mar3M @BangEdiii @DrEvaChaniago @Stevaniehuangg @CutSarina5 @ArieMutyara @aniesbaswedan Temen temen luh ni blok https://t.co/Bs42tql4Pj","Slamethardjo19",""
"1.6645658826712E+18","1.6645658826712E+18","@aniesbaswedan Dasar kita bicara UU bos. JK melanggar UU kan tinggal di proces","AmaqDekil",""
"1.6645658371085E+18","1.6645658371085E+18","@PartaiSocmed @aniesbaswedan @susipudjiastuti Lha, kok jd kayak bocah tum? emang kalo pendukungnya HRS maksa lu manggil beliau Habib itu ngaruh buat lu? Biarin aja kenapa, selama bukan Aniesnya yg begitu","Cinkrangers",""
"1.6645656458524E+18","1.6645656458524E+18","Sementara Gubernur Jawa Tengah Ganjar Pranowo menyusul dengan elektabilitas sebesar 24,0 persen, serta mantan Gubernur DKI Jakarta Anies Baswedan menempati peringkat ketiga dengan elektabilitas sebesar 17,2 persen.\n#SemuaDukungPrabowo #ManutJokowi Prabowo Subianto","mingskyyy_",""
"1.6645659642379E+18","1.6645659642379E+18","@aniesindo Anies Baswedan tukang ngibul katanya mau mendatangkan real Madrid Juventus Barcelona mana buktinya? Tukang ngibul nggak pantas jadi presiden cuma gede omong doang.","AsixChanel",""
"1.6645656787064E+18","1.6645656787064E+18","@kangdede78 @Mdy_Asmara1701 @GeiszChalifah @Lembayung071 @musniumar @ekowboy2 @abu_waras @HukumDan @bachrum_achmadi @Tan_Mar3M @BangEdiii @DrEvaChaniago @Stevaniehuangg @CutSarina5 @ArieMutyara @aniesbaswedan Komisaris goblok maenannya bencong","Slamethardjo19",""
"1.6645657120847E+18","1.6645657120847E+18","@MohammadSahrul @GNalifah @PartaiSocmed @aniesbaswedan @susipudjiastuti maunya dipanggil Betmen","PaulusWijaya007",""
"1.664565640899E+18","1.664565640899E+18","Mengalahkan 2 kandidat pesaingnya Ganjar Pranowo dan Anies Baswedan.\n#SemuaDukungPrabowo #ManutJokowi Prabowo Subianto","mingskyyy_",""
"1.664565905505E+18","1.664565905505E+18","@DavidWijaya82 @aniesbaswedan Woy dongok!!! https://t.co/W6fhmqZA8d","Jens_alfaqir",""
"1.6645656466284E+18","1.6645656466284E+18","@kangdede78 @Mdy_Asmara1701 @GeiszChalifah @Lembayung071 @musniumar @ekowboy2 @abu_waras @HukumDan @bachrum_achmadi @Tan_Mar3M @BangEdiii @DrEvaChaniago @Stevaniehuangg @CutSarina5 @ArieMutyara @aniesbaswedan Udh bingung mau nyerang dari mana LG,,ðŸ¤£ cebi kalap","reza_islah",""
"1.6645659586594E+18","1.6645659586594E+18","Dapat Restu SBY, PKS Yakin Koalisi Perubahan Bisa Memenangkan Anies di Pilpres 2024.\n\nâ€œRestu dan Dukungan SBY membuat PKS yakin Koalisi Perubahan untuk Persatuan (KPP) bisa memenangkan Anies Baswedan pada Pemilu 2024â€\nhttps://t.co/O4ERHrhBDE\n@AniesAHY @Anies_Relawan @san_jateng https://t.co/wnmpWdQNNI","Simanjunta9Nico",""
"1.6645653884774E+18","1.6645653884774E+18","@NasDem @aniesbaswedan https://t.co/lZNr45F2ve","idhumhi",""
"1.6645654729674E+18","1.6645654729674E+18","@GheaKulisolaya @aniesbaswedan @ganjarpranowo Debat  gak bermutu ðŸ¤£ðŸ¤£,\nJujur relawan dari masing"" kubu lebih ke bar"" ,nyerang ke personalpersonal""","rohmadhidayat82",""
"1.6645654627919E+18","1.6645654627919E+18","@ainunnajib @ridwankamil @aniesbaswedan @prabowo @ganjarpranowo Punten Kang @ridwankamil bukannya banyak kontroversi ya gus? Malah sama pendukungnya sendiri","theforge8888",""
"1.6645656137492E+18","1.6645656137492E+18","@PartaiSocmed @aniesbaswedan Sabar bang @PartaiSocmed. Manggil apa aja boleh tp kyknya suara beliau lebih ke prabowo bang","Zaya67180170",""
"1.6645651756961E+18","1.6645651756961E+18","Mengalahkan 2 kandidat pesaingnya Ganjar Pranowo dan Anies Baswedan. #SemuaDukungPrabowo #ManutJokowi Prabowo Subianto","Harumiii_kn",""
"1.6645649069461E+18","1.6645649069461E+18","@PartaiSocmed @aniesbaswedan Mang luhh siapa ga ngaruh..yg luhh jagoin sj yakni pak anies sangat hormat kpd Habib Rizieq..","dwi25824",""
"1.6645648990608E+18","1.6645648990608E+18","@tentang_logika2 @aniesbaswedan @DivHumas_Polri @PolhukamRI Halah anjenggg.. Anjengg... Komentar kau ngikuti buzzeRp!! Binatang bajingan!! Satu suara kalau satu kolam!! Woyy.. Anjeng!!! Berkreadi dengan garuda sudah biasa, asal menunjukkan semangat kecintaan, bukan untuk olok2!! Kalau cerdas kau hapus cuitan kau, biar gk malu! Anjeng! https://t.co/bRpRdrF5ba","mr_arifana",""
"1.6645652936316E+18","1.6645652936316E+18","@kangdede78 @Mdy_Asmara1701 @GeiszChalifah @Lembayung071 @musniumar @ekowboy2 @abu_waras @HukumDan @bachrum_achmadi @Tan_Mar3M @BangEdiii @DrEvaChaniago @Stevaniehuangg @CutSarina5 @ArieMutyara @aniesbaswedan DONGOK","Last__Sword",""
"1.6645653880705E+18","1.6645653880705E+18","@putri_Aalona @aniesbaswedan Dasar Lonte.\npak @aniesbaswedan  merubah dengan begitu loe brisik.\ngiliran den @ganjarpranowo loe mingkem Nyet.\nnoh si ganjar malah majangin muka dia di lambang garuda.\n\nDasar anak sundal koe.","Praseti01999",""
"1.6645653938209E+18","1.6645653938209E+18","Dari informasi yang dihimpun detikJatim, Anies Baswedan berada di mobil ketiga diikuti iring-iringan 2 mobil lainnya.  #SemuaDukungPrabowo #ManutJokowi Prabowo Subianto","tono14045",""
"1.6645653720525E+18","1.6645653720525E+18","@AgusYudhoyono @aniesbaswedan Kaaageeet...... https://t.co/458yxMrkBR","fairusmann",""
"1.6645652988073E+18","1.6645652988073E+18","@PartaiSocmed @KING_VADUKA @aniesbaswedan banyak Kyai dan Habib yg menurut kami layak kami hormati dan Rizieq bukan salah satu diantaranya.  \nSetuju Bang Tum","TukangKuli_",""
"1.6645656043162E+18","1.6645656043162E+18","@PartaiSocmed @aniesbaswedan @susipudjiastuti Masalah etika menghormati guru kenapa sampai permasalahan dukung mendukung, jila dukungan masalah prinsip kenapa bisa berubah disbblan perbedaan. Aneh","zackxy007",""
"1.6645651795423E+18","1.6645651795423E+18","Sementara Gubernur Jawa Tengah Ganjar Pranowo menyusul dengan elektabilitas sebesar 24,0 persen, serta mantan Gubernur DKI Jakarta Anies Baswedan menempati peringkat ketiga dengan elektabilitas sebesar 17,2 persen. #SemuaDukungPrabowo #ManutJokowi Prabowo Subianto","Harumiii_kn",""
"1.6645653853819E+18","1.6645653853819E+18","@putri_Aalona @aniesbaswedan https://t.co/O4nM5o0fMI","DidingNurislam",""
"1.6645652281165E+18","1.6645652281165E+18","@AbdiKabayan @IbnuhazmA @MIrvanDarwin1 @aniesbaswedan cebong semakin gencar memfitnah, tapi cuma sampai 2024.\n\nsetelah itu mrk musnah, seperti pki di th65.\n\nAamiin. ðŸ¤²","AgusSantaiAja",""
"1.6645654275976E+18","1.6645654275976E+18","FRAMING ANIES DIJEGAL JADI CAPRES: FAKTA ATAU SEKEDAR EXIT STRATEGY"" AGAR TIDAK MENANGGUNG MALU â“\n\nNarasi atau pernyataan Anies Baswedan dan kelompoknya yang menuduh ada upaya penjegalan dirinyaâ“\n\nBenarkah tuduhan itu? Atau sekedar""exit strategy""â“\n\nhttps://t.co/6mvNGYT2ki""","INDONESIAPERKS4",""
"1.6645653467608E+18","1.6645653467608E+18","@kangdede78 @Mdy_Asmara1701 @GeiszChalifah @Lembayung071 @musniumar @ekowboy2 @abu_waras @HukumDan @bachrum_achmadi @Tan_Mar3M @BangEdiii @DrEvaChaniago @Stevaniehuangg @CutSarina5 @ArieMutyara @aniesbaswedan mending lu pesen banci aja sana","Last__Sword",""
"1.6645653776183E+18","1.6645653776183E+18","Pacitan - Anies Baswedan bertamu di kediaman Susilo Bambang Yudhoyono (SBY) di Pacitan.  #SemuaDukungPrabowo #ManutJokowi Prabowo Subianto","tono14045",""
"1.6645652616039E+18","1.6645652616039E+18","@DavidWijaya82 @aniesbaswedan Tetaplah ngebacot walaupun begoðŸ¤£","reza_islah",""
"1.6645647761929E+18","1.6645647761929E+18","@EkoPutr86520727 @Tita83079013 @aniesbaswedan Belum selesai? Celekin matamu klo ke Jkt om.","StefRudi",""
"1.6645646833309E+18","1.6645646833309E+18","@AgusSantaiAja @IbnuhazmA @MIrvanDarwin1 @aniesbaswedan Cara2 teroris ISIS mau diterapkan nih.","AbdiKabayan",""
"1.6645643586583E+18","1.6645643586583E+18","@PartaiSocmed @aniesbaswedan @susipudjiastuti Koh..koh.. Kamu panggil @susipudjiastuti itu â€œSUSIâ€ aja gak usah pakai â€œBUâ€","HutahaeanAzhar",""
"1.6645586406894E+18","1.6645586406894E+18","@PoernoAdiNug @PartaiSocmed @aniesbaswedan Maksudnya manggil imam peler besar?","DonKintil",""
"1.6645645671779E+18","1.6645645671779E+18","@PartaiSocmed @aniesbaswedan Ane sebagai simpatisan 212 aja ngerti kalau jalan terbaik supaya pak anies menang adalah pendukung HRS diam tenang dibelakang layar.","sfmgunners",""
"1.6645647928568E+18","1.6645647928568E+18","@susipudjiastuti @PartaiSocmed Nah kan cocok mjd pasangan  @aniesbaswedan terPuji 2024.","Harsarchjazz1",""
"1.6645642568499E+18","1.6645642568499E+18","@TeddGus Makanya suruh temen lu tu Moeldoko berhenti obok2 Demokrat. Junjungan lu Jokowi berhenti cawe2 2024. Biar fair 3 partai pendukung Anies Baswedan  aman usung calon mereka. \nItu baru secara konsekuen patuh thd UUD maupun UU Partai.","DzakwanFirst",""
"1.6645647266245E+18","1.6645647266245E+18","@dulfendra1 @nats_casual @DokterTifa @aniesbaswedan Jatah muhammadiah Ormas","agok_habang",""
"1.6645642706953E+18","1.6645642706953E+18","@AlimAR10943066 @PartaiSocmed @aniesbaswedan @susipudjiastuti Jika gerbong habib Rizieq cuma bisa mengisi 5 persen suara doang...\nMasa menyalahkan habib Rizieq krn kalah..\nYg salah ya timnya kontestan yg gak mampu nyari gerbong lain untuk mendapatkan suara,,\nGak bisa maksa yg cuma punya 5 persen,untuk mendatangkan 20 persen,angka drimana?ðŸ˜‚","kembangSaree",""
"1.6645644272939E+18","1.6645644272939E+18","@TeddGus @aniesbaswedan @PDemokrat @NasDem @PKSejahtera Nni bukti penuhi janji, bukan cuma obral janti https://t.co/WjnKjlxbEQ","Rafliyandinata",""
"1.664564202303E+18","1.664564202303E+18","Sementara Gubernur Jawa Tengah Ganjar Pranowo menyusul dengan elektabilitas sebesar 24,0 persen, serta mantan Gubernur DKI Jakarta Anies Baswedan menempati peringkat ketiga dengan elektabilitas sebesar 17,2 persen.\n#SemuaDukungPrabowo #ManutJokowi Prabowo Subianto","pyylahh1",""
"1.6645646011394E+18","1.6645646011394E+18","@take_mid @PartaiSocmed @KING_VADUKA @aniesbaswedan Kalau saya memilih tak terpengaruh pendukung, tetap melihat sosok capres dan orang-orang dalam team nya yg mungkin nanti akan jadi pembantunya. Kalau hanya pendukung di medsos, suaranya yg penting saat memilih. Siapa pun pendukung di medsos, tak akan mempengaruhi kepemimpinannya.","nandi_sch",""
"1.6645648645501E+18","1.6645648645501E+18","@DonKintil @PartaiSocmed @aniesbaswedan Lihat ini omongannya pendukung Ganjar =&gt;https://t.co/12wJ4BOmp5\nSudah rasis, tukang menghina lagi!","PoernoAdiNug",""
"1.6645646420213E+18","1.6645646420213E+18","@Julieette99 @KimeRebor @abu_waras @kangdede78 @Mdy_Asmara1701 @musniumar @ekowboy2 @GeiszChalifah @HukumDan @bachrum_achmadi @Tan_Mar3M @BangEdiii @DrEvaChaniago @Stevaniehuangg @CutSarina5 @ArieMutyara @aniesbaswedan kena diaaaa...@Julieette99 HOMO pengidap AIDS mentallllllll nya KENA...\nhahahahahah MAMPUS! https://t.co/YfUjZQLwjD","brent_redix",""
"1.6645640800852E+18","1.6645640800852E+18","@take_mid @PartaiSocmed @KING_VADUKA @aniesbaswedan Yg di bawah kayanya masih adem ayem, belum menentukan ke arah mana, karena HRS sendiri belum bersikap, meskipun arah tsb kemungkinan menuju di antara dua calon, bisa ke Anies atau ke PS.","Iqballbae97",""
"1.6645640568991E+18","1.6645640568991E+18","@TeddGus @aniesbaswedan @PDemokrat @NasDem @PKSejahtera Stop ngedabrus liat kndpe Anies jdi pilihan 3 partai pengusungnye... https://t.co/Jip9kulZ6D","Rafliyandinata",""
"1.6645635183672E+18","1.6645635183672E+18","@WadyaIrbar @NasDem @aniesbaswedan Korupsi BTS terbukti buat jalan jalan Yaman jembud","Jhan_Pinter",""
"1.6645640202157E+18","1.6645640202157E+18","@blueband2000 @blognyamasaan @AgusYudhoyono @aniesbaswedan Bukan hijrah mas, hijriyah ðŸ˜","joedesastro",""
"1.6645636638718E+18","1.6645636638718E+18","@Cryptomasta1 @aniesbaswedan Berarti elsperimen ku berhasil ..\nArtinya memang terbukti bahwa grombolan Anies Baswedan memang berisikan Penghianat Penghianat Bangsa dan Pancasila https://t.co/XXqT6Rf1kU","StefanAntonio__",""
"1.6645629381146E+18","1.6645629381146E+18","@Ariefkasam2 @aniesbaswedan Kalau buta mata org masih bisa melihat dg hatinya. Tapi jika buta hati, yg dilihat oleh mataupun tak tampak. https://t.co/QQdDDlhV2E","SaifuddinSay",""
"1.6645634964226E+18","1.6645634964226E+18","@democrazymedia Cara mengadu domba umat islam adalah mencari yg sedikit berilmu agama lalu di labeli gus selanjutnya di dadani baju muslim kemudian di suruh bikin video lalu kelompok buzzer punya tugas memviralkannya. Arahnya jelas agar suara umat islam tidak bersatu mengusung @aniesbaswedan","cibanteng1971",""
"1.664563577595E+18","1.664563577595E+18","@AbukhaliefR @Moch_herianto @DokterTifa @aniesbaswedan Klo memang gaada prestasi kok panik ya? ðŸ¤£ðŸ¤£","Tama_tama0838",""
"1.6645628918808E+18","1.6645628918808E+18","@putri_Aalona @lujifani @aniesbaswedan Jgn lupa ini juga lbh bahaya apalagi pake celana kolor disitu..hrs netral jgn hny Anies lu salahin.. https://t.co/FAFWBRIUvW","HendraEbhet",""
"1.6645639549314E+18","1.6645639549314E+18","@NasDem @aniesbaswedan Rekam jejak https://t.co/rI5Gg0wpCI","hendrikk168",""
"1.6645633754421E+18","1.6645633754421E+18","@TeddGus @aniesbaswedan @PDemokrat @NasDem @PKSejahtera Stop dg Orasi gombal nyang buat kesimpulan sendiri kga' ade' finalisasi. https://t.co/nAh2cgGGB4","Rafliyandinata",""
"1.6645637015199E+18","1.6645637015199E+18","Prabowo menganggap bakal calon presiden lainnya, yaitu Ganjar Pranowo dan Anies Baswedan, sebagai saudara sendiri. Â #SemuaDukungPrabowo #ManutJokowi Prabowo Subianto","Harumiii_kn",""
"1.6645633498191E+18","1.6645633498191E+18","@mulatt3 @Mudjibur_Rohman @kangdede78 @aniesbaswedan Jadi @KemenBUMN ....????\n\nAh..sudahlah","wietj4k",""
"1.6645636998799E+18","1.6645636998799E+18","@DENIDANI @Jongos_widodos @PartaiSocmed @aniesbaswedan Siapa yg batasi mas? waktu ahok umat islam takbir keliling pun gak boleh, setelah Anies semua diblhkan dari islam, Kristen, katholik, Hindu, Konghucu, sikh, dll. Bahkan semua t4 ibadah diberi BOTI, dan IMB.","NgilmuKantiLaku",""
"1.6645629959079E+18","1.6645629959079E+18","@DokterTifa @aniesbaswedan Hahaa dokter saraf","oryzapari",""
"1.6645640453396E+18","1.6645640453396E+18","@GheaJhanaLie7 @aniesbaswedan @ganjarpranowo Sangat jelas perbedaan sangat ketara nasionalis, admin memang jeli melihat.","zackxy007",""
"1.6645629224866E+18","1.6645629224866E+18","@p40812 @yusuf_dumdum @aniesbaswedan @rockygerung Nih tambahin\n\nðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£\nResponmu cuma gitu? gak mutu https://t.co/eRgn8PUcTz","fairusmann",""
"1.6645635438434E+18","1.6645635438434E+18","@rioyen11708655 @DokterTifa @aniesbaswedan Bu susi, pak jonan, sudirman said, said Didu ini orang 2 yang di pakai lagi dan dipecat mereka orang orang bagus.","agok_habang",""
"1.6645634933105E+18","1.6645634933105E+18","@p40812 @yusuf_dumdum @aniesbaswedan @rockygerung Kamu sakit hatj dari 2014.\n2024 akan tersayat lagi\n\nðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ https://t.co/7iGaFM2Ltw","fairusmann",""
"1.6645639722538E+18","1.6645639722538E+18","@orangOedik @Yurissa_Samosir @DKIJakarta @aniesbaswedan Dengan kebencianmu, semakin begok lah kau .. emang yg pemerintah DKI siapa pimpinannya?","esteler83",""
"1.6645635376485E+18","1.6645635376485E+18","@Politicadialog @tanji00868326 @DokterTifa Nah kan, kalah pengalaman idup di DKI malah nyuruh mampus. @aniesbaswedan anak buah nya kurang kosakata, coba tolong beliin kosakata di pasar baru.\nTernyata akun baru netes.\n#ngenes","d3d3d04nk",""
"1.6645627674819E+18","1.6645627674819E+18","@jansen_jsp @aniesbaswedan @AgusYudhoyono Masih bicara perubahan atau sdh bicara meluruskan?? Wkwkwk","Sarinah116",""
"1.6645624414168E+18","1.6645624414168E+18","Bismillah,\nInsya Allah semoga benerÂ² berjodoh @aniesbaswedan @AgusYudhoyono ....ðŸ¤²\n\n@jansen_jsp @Hasbil_Lbs @OssyDermawan @NasDem @PDemokrat","ay4ni",""
"1.6645620607375E+18","1.6645620607375E+18","@bangbri82 @Sukardi2017 @aniesbaswedan Ngarang memang bebas. ðŸ˜´","richworld",""
"1.66456262048E+18","1.66456262048E+18","@PartaiSocmed @aniesbaswedan Gw yang lama udah follow akun mas memed hanya tersenyum.","jafarsaroni",""
"1.6645626199012E+18","1.6645626199012E+18","@Moch_herianto @DokterTifa @aniesbaswedan Terus menurut penjenengan apa pak? Fakta atau ngarang bebas,  krn org selevel panjenengan pasti tahu lah rekam jejak Pak Anis sejak msh lingkup dunia pendidikan dahulu sebelum ke arena politik. Kecuali pura2 ga th Anis itu siapa..","SunuRiyadi11031",""
"1.6645621927952E+18","1.6645621927952E+18","@ainunnajib @ridwankamil @aniesbaswedan @prabowo @ganjarpranowo Udah gamungkin. Sulit ngelangkahin Ketum. Urusan kek gini musti ketentuan Munas yang mana musti acc pula 3 Pucuk Tinggi (Dewan Pembina, Penasehat, Pakar) yang mana masih kekeh AH jadi Capres or Cawapres 2024. Golkar juga udah klop arahnya ke PS. Kalo mo gitu, RK out dulu","FelixSGL1",""
"1.6645625258145E+18","1.6645625258145E+18","Awaw aw\n\n@Surya_Paloh\n@_PranandaSP_\n@NasDem\n@aniesbaswedan\n@aniesfor2024\n@JarnasABW\n@ekowboy2\n@Mdy_Asmara1701\n@marlina_idha\n@tatakujiyati\nLihat video King Mustofa Rejeki! #TikTok https://t.co/VMepJKZIEb","KuncungKecil",""
"1.6645625519618E+18","1.6645625519618E+18","@kangdede78 @Mdy_Asmara1701 @GeiszChalifah @Lembayung071 @musniumar @ekowboy2 @abu_waras @HukumDan @bachrum_achmadi @Tan_Mar3M @BangEdiii @DrEvaChaniago @Stevaniehuangg @CutSarina5 @ArieMutyara @aniesbaswedan Anies suka nyolong. Aaaassssduuuudaaahhhhllllaaahhhhh","yudiwijayaa",""
"1.6645627635435E+18","1.6645627635435E+18","@BosPurwa @susipudjiastuti @aniesbaswedan Alhamdulillah","noel74844997",""
"1.6645622918605E+18","1.6645622918605E+18","Setelah Bertemu SBY, Anies Baswedan Temui Ketum NasDem Surya Paloh Bahas Bacawapres\n\nhttps://t.co/dg2C57ftyc","kompastvptk",""
"1.664562546698E+18","1.664562546698E+18","@ainunnajib @ridwankamil @aniesbaswedan @prabowo @ganjarpranowo Akhirnya RK sekarang disuruh fokus ke Pilgub baik DKI (meski rada sulit karena Golkar gakuat disono) or Jabar (ini pun gambling ama suara Pileg 2024, Jabar bisa tetep rada berjaya disono apa kaga, 5 besar). Intinya kalo ke Nasional, sekalipun Waketum tapi rada sulit. Ribet emang","FelixSGL1",""
"1.6645628318771E+18","1.6645628318771E+18","Sementara itu, mantan Gubernur DKI Jakarta Anies Baswedan menempati peringkat ketiga dengan elektabilitas hanya 17,2 persen. #SemuaDukungPrabowo #ManutJokowi Prabowo Subianto","tono14045",""
"1.6645625861916E+18","1.6645625861916E+18","@Sukardi2017 @aniesbaswedan Cawe-cawe adalah curang-curang","Hermawa63129732",""
"1.6645627304628E+18","1.6645627304628E+18","@JhonniSinaga20 @aniesbaswedan dongok lu , lu gak tau asal usulnya kenapa Anies berada di Amerika dan sampai tinggal di keluarga itu , baca Glora main akur aja , makanya lu dongok.","RafliPadang",""
"1.6644225307264E+18","1.6644225307264E+18","Ngak main-main. Sudirman Said BONGKAR info-info penting Pencapresan. Salah satunya, AHY pernah dibujuki posisi Cawapres, bahkan Capres. Laluâ€¦. Lihat tuntas di https://t.co/7U4lt2oK65","KataBewe",""
"1.6645628236353E+18","1.6645628236353E+18","JAKARTA - Elektabilitas Prabowo Subianto menjelang Pilpres 2024 mengungguli Ganjar Pranowo, sedangkan Anies Baswedan tertinggal jauh, sesuai hasil survei Y-Publica terbaru. #SemuaDukungPrabowo #ManutJokowi Prabowo Subianto","tono14045",""
"1.664562535042E+18","1.664562535042E+18","@Godam062 @NasDem @aniesbaswedan Sederhana dukung yg menjunjung tinggi ideologi bangsa,&amp;berani menjamin akan menghapuskan,pihak pihak yg gk sejalan dengan pancasila...","ndukurkotarih",""
"1.6645628715846E+18","1.6645628715846E+18","@PartaiSocmed @aniesbaswedan maaf serius nanya harus banget di panggil dengan sebutan habib kah?\nbahkan orang terdahulu para sahabat nabi juga di panggil hanya dengan namanua saja ok ok saja\nkalo soal mulia dan tingkat keshalehan jelas para sahabat Nabi jauh lebih mulia\ncuma nanya loh ini?","zu_asuma",""
"1.6645622817816E+18","1.6645622817816E+18","@susipudjiastuti @BosPurwa @aniesbaswedan Saran saja bu ...klu semua capres kawan ibu bagaimana jika ibu berpasangan dengan saya saja....wkwkwwk","HaryAlfayath",""
"1.6645621504956E+18","1.6645621504956E+18","@Mayapada0812 @MatJohar3 @Malika6027 @MuhiqR @DM_Sihombing16 @Yurissa_Samosir @JafarJafaraddin @aniesbaswedan @a_rogansi @DE_Sapta5 @choymarkochoy @PramukhtikoS @xix0_3 @doelpaten @NohCeukenohhh Kapan Ini Kak","HermanNapit7",""
"1.6645627664208E+18","1.6645627664208E+18","Adakah yang segamblang ini mengedit lambang Garuda Pancasila?  Lihat tulisan di bawah: Dari ANIES BASWEDAN.  Diposting di banyak media sosial? https://t.co/DQk2XGWDwQ","AHayH_yatt",""
"1.6645613171E+18","1.6645613171E+18","@oposan007 @ruhutsitompul @aniesbaswedan itu sdh di realisasikan buat jogging belum ? atau hanya lintasan, kalo gak ada yg jongging sama aja wan ngibul","zen_sulendro",""
